colname,score,rank
yearsExperience_bin_0-industry_WEB,0.0,157
yearsExperience_bin_2-milesFromMetropolis_bin_0,0.0,158
yearsExperience_bin_2-milesFromMetropolis_bin_2,0.0,159
yearsExperience_bin_2-degree_BACHELORS,0.0,160
yearsExperience_bin_3-milesFromMetropolis_bin_4,0.0,161
yearsExperience_bin_2-degree_HIGH_SCHOOL,0.0,162
yearsExperience_bin_2-milesFromMetropolis_bin_4,0.0,163
yearsExperience_bin_2-jobType_CEO,0.0,164
yearsExperience_bin_2-jobType_CTO,0.0,165
yearsExperience_bin_2-jobType_JANITOR,0.0,166
yearsExperience_bin_2-jobType_JUNIOR,0.0,167
yearsExperience_bin_2-jobType_MANAGER,0.0,168
yearsExperience_bin_2-jobType_SENIOR,0.0,169
yearsExperience_bin_2-jobType_VICE_PRESIDENT,0.0,170
yearsExperience_bin_2-degree_DOCTORAL,0.0,171
yearsExperience_bin_3-jobType_CTO,0.0,172
yearsExperience_bin_2-degree_MASTERS,0.0,173
yearsExperience_bin_3-milesFromMetropolis_bin_3,0.0,174
yearsExperience_bin_2-degree_NONE,0.0,175
yearsExperience_bin_2-major_NONE,0.0,176
yearsExperience_bin_2-industry_AUTO,0.0,177
yearsExperience_bin_2-industry_EDUCATION,0.0,178
yearsExperience_bin_2-industry_FINANCE,0.0,179
yearsExperience_bin_2-industry_HEALTH,0.0,180
yearsExperience_bin_2-industry_WEB,0.0,181
yearsExperience_bin_3-milesFromMetropolis_bin_0,0.0,182
yearsExperience_bin_3-jobType_CFO,0.0,183
yearsExperience_bin_4-jobType_CEO,0.0,184
yearsExperience_bin_4-jobType_CTO,0.0,185
yearsExperience_bin_3-degree_NONE,0.0,186
yearsExperience_bin_2-milesFromMetropolis_bin_3,0.0,187
yearsExperience_bin_3-jobType_JANITOR,0.0,188
yearsExperience_bin_3-jobType_JUNIOR,0.0,189
yearsExperience_bin_3-jobType_MANAGER,0.0,190
yearsExperience_bin_3-jobType_SENIOR,0.0,191
yearsExperience_bin_3-jobType_VICE_PRESIDENT,0.0,192
yearsExperience_bin_3-degree_BACHELORS,0.0,193
yearsExperience_bin_3-degree_DOCTORAL,0.0,194
yearsExperience_bin_3-degree_HIGH_SCHOOL,0.0,195
yearsExperience_bin_3-degree_MASTERS,0.0,196
yearsExperience_bin_3-major_NONE,0.0,197
yearsExperience_bin_4-milesFromMetropolis_bin_4,0.0,198
yearsExperience_bin_3-industry_AUTO,0.0,199
yearsExperience_bin_3-industry_EDUCATION,0.0,200
yearsExperience_bin_3-industry_HEALTH,0.0,201
yearsExperience_bin_3-industry_OIL,0.0,202
yearsExperience_bin_3-industry_SERVICE,0.0,203
yearsExperience_bin_3-industry_WEB,0.0,204
yearsExperience_bin_4-milesFromMetropolis_bin_0,0.0,205
yearsExperience_bin_4-milesFromMetropolis_bin_1,0.0,206
yearsExperience_bin_4-milesFromMetropolis_bin_2,0.0,207
yearsExperience_bin_4-milesFromMetropolis_bin_3,0.0,208
jobType_CTO,0.0,209
yearsExperience_bin_4-jobType_JUNIOR,0.0,210
milesFromMetropolis_bin_3-degree_BACHELORS,0.0,211
milesFromMetropolis_bin_0-degree_DOCTORAL,0.0,212
milesFromMetropolis_bin_0-degree_NONE,0.0,213
milesFromMetropolis_bin_0-degree_MASTERS,0.0,214
yearsExperience_bin_4-industry_HEALTH,0.0,215
yearsExperience_bin_4-jobType_VICE_PRESIDENT,0.0,216
yearsExperience_bin_4-degree_BACHELORS,0.0,217
yearsExperience_bin_4-degree_DOCTORAL,0.0,218
yearsExperience_bin_4-degree_HIGH_SCHOOL,0.0,219
